iter	Passed	Remaining
0	1	1696
1	3	1604
2	4	1548
3	8	2047
4	10	2025
5	11	1935
6	13	1899
7	15	1893
8	18	2040
9	23	2350
10	26	2378
11	29	2398
12	31	2370
13	33	2345
14	36	2425
15	38	2385
16	40	2334
17	42	2305
18	45	2351
19	47	2319
20	50	2345
21	52	2324
22	53	2284
23	55	2241
24	56	2194
25	57	2150
26	58	2111
27	59	2072
28	60	2042
29	62	2010
30	63	1989
31	65	1975
32	66	1960
33	68	1944
34	69	1923
35	71	1907
36	74	1933
37	76	1932
38	78	1924
39	80	1924
40	81	1911
41	83	1902
42	84	1885
43	85	1866
44	87	1855
45	88	1843
46	90	1832
47	95	1892
48	97	1884
49	98	1867
50	99	1848
51	100	1830
52	101	1815
53	102	1798
54	103	1784
55	105	1775
56	107	1774
57	109	1773
58	110	1762
59	111	1748
60	112	1733
61	113	1719
62	114	1706
63	115	1693
64	116	1681
65	118	1672
66	119	1661
67	120	1658
68	122	1655
69	125	1666
70	126	1661
71	128	1657
72	130	1657
73	132	1660
74	134	1658
75	136	1656
76	137	1650
77	139	1650
78	141	1655
79	143	1652
80	145	1655
81	147	1652
82	149	1646
83	150	1645
84	153	1653
85	155	1652
86	159	1670
87	161	1672
88	164	1678
89	165	1677
90	169	1691
91	170	1687
92	172	1682
93	175	1689
94	177	1688
95	179	1686
96	181	1691
97	184	1694
98	186	1694
99	188	1694
100	190	1693
101	192	1696
102	195	1703
103	197	1699
104	198	1694
105	200	1689
106	201	1683
107	203	1679
108	209	1714
109	211	1710
110	212	1705
111	214	1700
112	216	1699
113	218	1696
114	224	1727
115	226	1724
116	231	1743
117	233	1743
118	235	1740
119	237	1741
120	240	1747
121	243	1749
122	245	1751
123	247	1748
124	250	1755
125	252	1754
126	254	1748
127	256	1746
128	258	1743
129	259	1738
130	261	1731
131	262	1724
132	266	1735
133	268	1732
134	269	1727
135	271	1724
136	272	1719
137	274	1717
138	276	1714
139	279	1718
140	282	1718
141	283	1713
142	286	1717
143	288	1717
144	291	1716
145	293	1716
146	295	1715
147	298	1716
148	300	1714
149	301	1708
150	302	1702
151	309	1728
152	312	1727
153	314	1725
154	315	1721
155	317	1718
156	319	1714
157	322	1716
158	324	1715
159	326	1712
160	327	1704
161	328	1700
162	330	1696
163	331	1692
164	334	1691
165	336	1688
166	337	1685
167	340	1684
168	342	1682
169	344	1679
170	345	1676
171	352	1695
172	354	1693
173	355	1689
174	357	1684
175	358	1680
176	360	1675
177	361	1671
178	363	1668
